item,brand,store_type,season,purchase_method,qty_bought,days_used,daily_use,last_purchase_days_ago,household_size,price,discount_percent,shelf_life_days,rating,stock_status
eggs,PremiumSelect,wholesale,monsoon,offline,1.0,32.0,1.4089634520744219,34.0,1.0,175.43940655873843,2.910847225309081,38.0,4.375990318161769,empty
oil,BrandA,online,monsoon,online,3.0,46.0,0.31855619731619844,120.20813441058722,1.0,354.41283664258543,13.981288175330322,14.0,2.455548322560666,low
pasta,BrandB,wholesale,none,subscription,7.0,51.0,1.3443233838844928,2.0,3.0,64.49373600683634,0.6389233474753819,83.0,3.454075965182174,empty
tea,LocalBrand,local_shop,monsoon,subscription,9.0,18.0,1.457835045573772,39.0,1.0,126.82617703653969,17.662788735582513,117.0,3.436221116819885,low
,BrandB,online,none,online,1.0,41.0,1.3228643215830085,,5.0,391.27651178505306,33.28054377517638,74.0,3.150208172947777,empty
eggs,BrandC,online,summer,online,6.0,35.0,1.0318439778229347,26.0,5.0,448.4733955004764,27.89274665723414,15.0,3.968259020075006,empty
flour,BrandC,local_shop,monsoon,offline,2.0,43.0,1.128150138743481,5.0,5.0,27.799502552350894,7.951355337690171,129.0,1.6799424628607103,empty
salt,BrandC,online,none,online,5.0,24.0,1.064807503458895,38.0,6.0,99.88520825737214,7.307370895412584,112.0,1.7547575062899528,empty
eggs,BrandC,local_shop,summer,subscription,7.0,47.0,0.7177603623898409,16.0,7.0,120.87775062520731,28.167685651724618,33.0,4.778682061407747,empty
pasta,PremiumSelect,online,winter,online,7.0,28.0,0.4479085921805213,12.0,5.0,269.306422812421,,115.0,4.359436288192916,low
pasta,LocalBrand,wholesale,summer,offline,7.0,36.0,0.46325395842899303,17.0,6.0,94.00558913772198,5.689369901815833,108.0,4.2740815582580804,empty
tea,LocalBrand,online,summer,online,4.0,21.0,1.1101933988648995,25.0,5.0,488.51064502510224,26.883590686330212,162.0,2.932428803055394,empty
milk,BrandB,online,monsoon,subscription,6.0,56.0,0.9577528500647977,24.0,2.0,206.17381475148858,31.229936494627037,83.0,3.27107235962461,low
oil,BrandA,online,winter,online,6.0,5.0,0.8980818492552629,11.0,2.0,88.552476905634,30.652289322454386,6.0,3.4995919892151353,low
tea,BrandB,supermarket,winter,online,7.0,26.0,0.9962828149903765,18.0,3.0,391.63214427935856,16.223971763356033,145.0,2.1758988696676407,empty
tea,BrandB,wholesale,monsoon,online,9.0,50.0,1.173440041374789,36.0,6.0,289.66949886181385,32.5657328895307,94.0,2.178851951692904,empty
salt,BrandB,local_shop,summer,offline,6.0,54.0,1.1350943262360236,3.0,4.0,458.7691616451973,15.59249287387468,121.0,1.7195031135739987,empty
bread,BrandB,supermarket,none,offline,1.0,23.0,0.20282478839898266,19.0,5.0,,25.828512178001194,169.0,3.240773692714295,empty
milk,LocalBrand,wholesale,monsoon,,8.0,44.0,0.576400822074736,6.0,4.0,430.8255911967216,30.412600578019088,153.0,,low
sugar,BrandA,online,summer,offline,,33.0,0.4327523483369242,23.0,7.0,290.88347993416835,30.219101048811083,25.0,1.8045823911208747,empty
tea,BrandB,,none,subscription,3.0,26.0,0.8304460602250106,7.0,4.0,126.84835554556719,13.878571626416075,46.0,4.610132526529175,empty
cereal,LocalBrand,local_shop,monsoon,subscription,5.0,57.0,0.13905331943878926,9.0,7.0,225.71943916352024,22.83255823551514,194.0,3.103844318368455,low
bread,BrandB,local_shop,monsoon,offline,6.0,22.0,1.1555728688641351,2.0,5.0,251.62264540227153,24.557688319935224,75.0,3.476278038534211,empty
